reg_id;Region;year;1;2;3;4;5;6;7;8;9;10;11;12
R35;Lechtal;1040,911553;1148,007564;1877,657168;1402,16474;830,5970433;833,5290135;1657,756026;1247,14252;1360,869008;1128,38433;513,3202166;202,9399359;841,5463271
R36;Lieser- und Maltatal;691,6229677;1036,050967;1087,288518;971,8290674;348,6392935;494,916653;369,8690829;525,1674846;517,5448332;334,2752973;345,6246312;77,32689399;382,162502
R37;Linz;1203,676792;2872,170966;2975,385393;3498,203274;3848,571627;4231,848245;4525,736721;4517,863863;4492,425186;4675,683822;4243,319345;1570,909295;1698,564732
R38;Lungau;2686,518347;3029,893695;4469,686795;2187,642845;1367,552739;1074,004244;1935,159724;4197,407416;4362,367275;867,0789673;788,9952823;274,7913894;2809,789889
R39;Mayrhofen;6718,630315;5732,454786;5302,629364;6296,221709;4288,536581;1969,029971;3423,357752;3981,632464;3829,675192;1900,161707;1239,07776;420,4002245;3431,662032
R40;Millstätter See;2658,223131;982,6254521;1185,050554;679,1614108;650,0981809;939,4310527;1204,530313;1714,788094;2016,348451;711,549504;498,8702025;239,8812271;597,1870389
R41;Mittelburgenland;337,4775952;257,5005185;350,7327239;429,7672692;868,3275065;811,9478424;966,0581281;971,4220248;1026,15839;356,0362897;384,8858221;258,8080317;383,9597584
R42;Montafon;5410,863957;4679,314227;6546,367898;5302,371271;4136,280823;2487,931469;3022,437879;3353,120199;3927,776633;2144,581114;3162,729549;1358,754268;3855,716597
R43;Mostviertel;874,1123038;1533,085887;1617,325587;1401,327045;1262,05959;1842,402644;2102,534276;2478,794659;3033,076249;1696,105209;1678,773386;1036,965699;1198,397929
R44;Mühlviertel;534,5627446;924,9311924;759,484165;781,8598039;911,2412044;1017,666182;1034,215126;782,2862296;759,6727126;744,9071113;1126,191295;968,785255;1008,723409
R45;Nassfeld-Pressegger See Lesachtal Weissensee;5006,681333;4265,689428;4678,203424;2721,669122;1302,46654;1590,196353;3341,979728;3539,144103;2900,251495;1217,581884;1254,972483;268,6957005;3200,896915
R46;Nationalpark Kalkalpen Region;278,5318058;353,5566191;288,6452835;272,5633294;257,1685954;393,1712397;475,6781471;582,1036696;489,0061498;312,028608;393,4907983;399,1834991;262,7326298
R47;Naturparkregion Reutte;653,7147592;615,7508951;1040,853983;685,9761939;608,6827716;811,7994035;965,4454926;978,3464115;1035,610571;481,1136105;697,7595534;359,6514381;446,8030581
R49;Nockberge;969,7705318;710,0671777;673,9604558;783,3333455;527,3531245;657,7291815;886,2597462;1235,162541;1715,048502;420,3287175;386,647271;90,7085176;388,4711633
R50;Nordburgenland;2844,43458;1062,185204;1105,074196;996,1417548;1344,608092;1275,153957;1467,753687;859,4209558;1675,723128;1014,551067;1509,68706;1342,519615;1602,81161
R51;Obertauern;4238,58236;2975,941265;3571,108231;2585,363157;3104,565687;169,9857074;285,2100299;615,4691142;878,0395133;235,9598048;187,6861383;796,2173806;2949,06564
R52;Osttirol;4550,995398;2701,890759;3941,012299;3207,007005;2089,627589;1894,708865;3988,979514;4010,79122;2675,429642;2178,171439;2539,145133;854,0481364;2368,998926
R53;Ötztal Tourismus;10376,89015;9157,530587;10981,40795;8262,274147;10005,92972;1940,869889;5207,466325;6477,82356;7120,093304;3035,673354;2102,892905;2569,442974;9198,815099
R54;Paznaun - Ischgl;9940,604927;8220,616695;7658,255634;6054,314075;7079,520783;2445,361644;870,6933094;3911,038879;4988,568786;1550,055411;1076,715055;1495,315592;6622,235223
R55;Pillerseetal;2200,982343;2017,47074;2466,085759;2373,666938;849,9700309;1274,127008;1610,190611;1999,69129;1944,474245;762,6392798;1419,404689;365,3256305;1792,762761
R56;Pitztal;2001,029592;2208,853238;2528,01969;2189,861929;2833,373727;698,0971749;987,0682616;1205,132656;1519,678168;768,8458899;562,1595356;417,7024567;1411,329424
R57;Pongau allgemein;499,9842583;840,7995145;911,8592827;447,1612355;553,4717136;509,5792977;727,3524829;889,3998715;1074,214531;913,888589;485,8465074;344,6385823;863,4948942
R58;Pyhrn-Priel;763,9981712;903,8365531;1174,221492;703,4215205;417,7341856;658,8252891;1019,133477;1292,119895;1394,72285;547,2035697;808,4633325;294,4802589;682,0724799
R59;Region Graz;1561,007489;2190,296475;2425,000945;2928,585651;3324,174158;3446,708188;3723,429918;4521,882463;4853,084429;3284,382758;3335,157485;2844,741994;3629,608608
R60;Region Hall - Wattens;278,753725;426,2846381;548,8428645;374,9711235;553,3045734;621,9566205;761,2677133;972,8462169;892,6322701;604,2720758;543,0674774;464,0407444;672,5279321
R61;Region Villach;4921,912184;2441,161861;2532,736652;1270,006179;1091,755687;1927,361137;2572,313768;2413,955672;2085,710758;791,9707514;1599,015038;1307,365522;1801,953015
R62;Saalbach-Hinterglemm;7758,033897;6595,556717;6964,814154;7808,529523;2952,650343;1509,077628;4978,144465;7880,167699;8338,897239;3198,773198;1545,08486;334,1308864;5032,733536
R63;Saalfelden-Leogang;1866,80657;1920,434626;2971,732786;2618,957986;1321,369111;1879,355959;2507,364358;2584,387712;3024,80719;1589,394754;2233,390718;827,1737243;1816,54598
R64;Salzburger Saalachtal;1160,834136;1083,081004;1382,149063;1046,870072;538,9504318;894,4938279;1138,215322;817,2617681;726,7699123;606,5367677;638,5409703;120,6030399;647,5481086
R65;Salzburger Seenland;349,5281759;134,6554099;184,5171691;154,4196721;144,9835263;176,231387;193,4972437;217,2900201;330,3481336;201,8980036;189,0050954;198,8629823;192,3311318
R66;Salzburger Sonnenterrasse;125,027235;310,6246868;410,0929237;252,9694123;204,8398217;172,8044939;193,8700563;229,7761256;310,6422285;202,5014308;148,7640306;48,02169267;145,3474251
R67;Salzburger Sportwelt;12032,20904;11573,19776;12006,09792;11603,92811;5449,68529;4242,222614;8344,19821;12612,87704;13524,63275;4063,52659;4812,823427;1163,82384;10150,99153
