reg_id;region_vec;Methode;sample;fwindow;block;lag;s_window;robust;trend_min
R87;Umgebungsorte Salzburg Stadt;mbb;long_time;19;30;12;55;0;1,038340804
R88;Urlaubsregion Murtal;normal;long_time;19;13;12;13;1;1,046861464
R89;Waldviertel;normal;long_time;31;13;12;13;0;1,03014302
R90;Weinviertel;mbb;long_time;19;37;12;55;1;1,040952749
R91;Wien;normal;long_time;43;13;12;13;0;1,062589752
R92;Wiener Alpen in Niederösterreich;normal;long_time;19;13;12;35;0;1,020312652
R93;Wienerwald;normal;long_time;19;13;12;35;1;1,04579293
R94;Wilder Kaiser;normal;long_time;43;13;24;13;1;1,002735355
R95;Wildschönau;mbb;long_time;31;25;12;13;1;1,017407845
R96;Wipptal;normal;long_time;25;13;12;35;1;1,006091005
R97;Wolfgangsee;normal;long_time;43;13;24;55;1;1,025718425
R98;Wörthersee;normal;long_time;49;13;12;13;0;0,996943914
R99;Zell am See - Kaprun;mbb;long_time;49;30;12;35;1;1,033649361
R100;Zell-Gerlos;mbb;long_time;49;13;12;25;1;1,035058566
R101;Zentralraum Oberösterreich;normal;long_time;19;13;12;55;1;1,040325902
